Title,Location,Bedrooms,Bathrooms,House Size,Description,Price
1 Bedroom House,Kilimani,1,1,0.5 acres,"ONE BEDROOM GUEST WING HOUSE FOR RENT IN KILIMANI

A One-Bedroom Guest Wing is available",KSh 60 000
4 Bedroom House,Westlands,4,3,0.5 acres,"Nestled in the serene and prestigious neighborhood of *Westlands, this exquisite",KSh 350 000
5 Bedroom House,Lavington,5,5,300 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 390 000
4 Bedroom House,Ruaka,4,4,2 100 m²,"To let ruaka
4 bdrms all ensuite 
at 80k 
0701 381545 
own compound",KSh 80 000
4 Bedroom House,Lavington,4,4,300 m²,"4 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 390 000
4 Bedroom House,Karen,4,4,0.5 ha,"Property Highlights

Living Areas:
-Spacious sunken lounge with an inviting",KSh 370 000
5 Bedroom House,Lavington,5,5,300 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 300 000
4 Bedroom House,Kitisuru,4,4,2 100 m²,"Charming 4 bedroom bungalow plus detached 1 bedroom Guestwing, on 1 acre, ensuite, living",KSh 500 000
1 Bedroom House,Karen,1,1,150 m²,"?? Karen 

One Bedroom Shared compound To Let in Karen.

Guide Rent
Furnished:",KSh 50 000
4 Bedroom House,Karen,4,4,0.05 acres,"Karen
4 Bedroom plus Dsq Bungalow available To Let in Karen

Guide Rent:Kshs.",KSh 250 000
5 Bedroom House,Runda,5,5,2 100 m²,"FOR RENT – 5 Bedroom All En-suite Standalone House in Runda Mumwe

A beautiful, spacious,",KSh 400 000
1 Bedroom House,Kilimani,1,1,0.25 m²,"ONE BEDROOM GUEST WING HOUSE FOR RENT IN KILIMANI

A One-Bedroom Guest Wing is available",KSh 60 000
4 Bedroom House,Karen,4,5,1 acres,"4 Bedroom Family Home to let in Karen at Ksh. 650,000

FEATURES
Own compound (Stand",KSh 650 000
5 Bedroom House,Karen,5,5,2 100 m²,"Delightful 5 Bedroom Villa for rent 
(KSH 350,000)
5 bedroom house to let in a gated",KSh 350 000
5 Bedroom House,Karen,5,5,2 100 m²,"Five bedroom house to rent in windyridge, karen. Ksh 400,000.
Stylishly, efficient,",KSh 400 000
4 Bedroom House,Runda,4,5,521 acres,Introducing Beautiful and Modern 4 & 5 Bedroom All-Ensuite Townhouses – Your Dream Home,KSh 35 000 000
4 Bedroom House,Nyari,4,4.5,0.57 acres,"4 bedroom all ensuite plus dsq, unfurnished, 3000 USD
Furnished, 4000 USD
Nyari",KSh 390 000
4 Bedroom House,Ngong,4,4,0.03 acres,This elegant home located in ngong near catholic church. It's 3bedrooms  house with savant,KSh 65 000
5 Bedroom House,Lavington,5,5,2 100 m²,"Luxury Brand New 5-Bedroom Townhouse for Rent in Lavington – Prime Location

Asking",KSh 350 000
5 Bedroom House,Lavington,5,6,2 100 m²,"Modern 5-Bedroom Home for Rent in Lavington

Step into spacious, stylish living with this",KSh 460 000
3 Bedroom House,Kilimani,3,3,2 100 m²,"3 bedroom apartment to rent in Kilimani (Kenya)
(KSH210,000) per month

Property",KSh 210 000
5 Bedroom House,Karen,5,5,2 100 m²,"To Let, Kerarapon

-A spacious 5 bedroom master en-suite House to let.
-DSQ for 2
-Sits",KSh 100 000
4 Bedroom House,Runda,4,4,0.5 acres,Discover the perfect blend of modern comfort and nature in this beautiful four-bedroom,KSh 340 000
4 Bedroom House,Lavington,4,4,2 100 m²,"Features
4 bedrooms (2 en suite) / 3 bathrooms
Rates
Rate from
Furnished No
Minimum",KSh 110 000
5 Bedroom House,Lavington,5,4,4 500 m²,"Lavington 
5bedroom plus Dsq house for commercial use/residential to let located in the",KSh 600 000
4 Bedroom House,Spring Valley,4,4,0.5 acres,"Spring Valley: Executive 4 Bedroom Villa plus Dsq to let

This is a Beautiful Villa",KSh 450 000
4 Bedroom House,Karen,4,4,0.5 acres,"Location: Karen
Rent: KES 450,000 per month

Main House Features:
4 Spacious Bedrooms –",KSh 450 000
2 Bedroom House,Kilimani,2,2,1 000 m²,"Features
2 bedrooms (1 en suite) / 2 bathrooms / electricity
Minimum stay-",KSh 100 000
2 Bedroom House,Runda,2,2,2 100 m²,"Looking for a luxurious home in a prime location? Look no further, live your dream life in",KSh 95 000
5 Bedroom House,Karen,5,4,4 200 m²,"Karen, Nairobi area
New, Modern & Stunning 5 Bedroom all en-suite Townhouse plus DSQ For",KSh 350 000
5 Bedroom House,Westlands,5,5,2 100 m²,"5 bedrooms all ensuite. 
?large living area/dining area 
?clockroom. 
?Family",KSh 350 000
4 Bedroom House,Spring Valley,4,4,2 100 m²,"Spring Valley: Executive 4 Bedroom Villa plus Dsq to let

This is a Beautiful Villa",KSh 450 000
4 Bedroom House,Karen,4,4,0.5 m²,"4 Bedroom Town House All En-suite with DSQ within a gated compound
KAREN - Newly built 4",KSh 550 000
3 Bedroom House,Kileleshwa,3,3,2 100 m²,"Features
3 bedrooms (3 en suite) / 4 bathrooms / 1 reception room
Un-Furnished
Minimum",KSh 130 000
4 Bedroom House,Peponi,4,4,300 m²,"4 Bedroom House For Rent in Peponi

Cosy Townhouse in Westlands
This is a nice five",KSh 450 000
5 Bedroom House,Runda,5,5,1 acres,"Discover Luxurious Living in Runda! 

Are you ready to elevate your lifestyle? Experience",KSh 450 000
4 Bedroom House,Kileleshwa,4,4,2 100 m²,"4 bedroom apartment to rent in Kileleshwa (Kenya)
(KSH195,000) per month
Property",KSh 195 000
4 Bedroom House,Kitisuru,4,4,1 acres,Discover the perfect blend of luxury and tranquility in this stunning four-bedroom villa,KSh 395 000
4 Bedroom House,Peponi,4,5,0.5 acres,"""Nestled in the prestigious and tranquil Runda neighborhood, this stunning 4-bedroom",KSh 620 000
2 Bedroom House,Kilimani,2,2,1 000 m²,"2 bedroom apartment to rent in Kilimani (Kenya)
(KSH180,000) per month
Property",KSh 180 000
3 Bedroom House,Karen,3,3,2 100 m²,"DESCRIPTION: STAND ALONE, 3 BEDROOM BUNGALOW 
RENT: 100K
A cozy 3-bedroom bungalow in",KSh 100 000
3 Bedroom House,Kileleshwa,3,3,2 100 m²,"Features
3 bedrooms (3 en suite) / 3 bathrooms / water / electricity
unfurnished
Minimum",KSh 120 000
4 Bedroom House,Runda,4,4,2 000 m²,"Charming 4-Bedroom All Ensuite Villa for Rent in Runda – Half Acre

?? Asking Price: Ksh.",KSh 280 000
5 Bedroom House,Karen,5,5,2 100 m²,"5 bedroom contemporary villa for rent in karen
??Karen miotoni
??Kes 550k per",KSh 550 000
4 Bedroom House,Nyari,4,4,0.25 m²,Discover refined living in this stunning four-bedroom house nestled in the serene and,KSh 380 000
5 Bedroom House,Runda,5,5,2 000 m²,"Elegant 5-Bedroom All-En-suite Home in Runda with 2 DSQ Rooms
Rental Price: Ksh 420,000",KSh 420 000
5 Bedroom House,Kyuna,5,5,0.5 acres,"Kyuna 5Bedroom Townhouse! 

??kyuna, Westlands Nairobi

Contemporary living in this",KSh 300 000
2 Bedroom House,Kilimani,2,2,2 100 m²,"Features
2 bedrooms (2 en suite) / 2 bathrooms

Rates
Season
Rate from
Furnished",KSh 100 000
5 Bedroom House,Runda,5,6,2 100 m²,"5 Bedroom house to let in Runda
All ensuite 
Private swimming pool 
Spacious rooms",KSh 550 000
3 Bedroom House,Karen,3,3,2 100 m²,"DESCRIPTION: STAND ALONE, 3 BEDROOM BUNGALOW 
RENT: 120K
A cozy 4-bedroom bungalow in",KSh 120 000
7 Bedroom House,Lavington,7,9,1 acres,"This stand-alone property is located in Lavington, Manyani area. 

Features:

Swimming",KSh 350 000
5 Bedroom House,Karen,5,5,2 100 m²,"To Let, Kerarapon

-A spacious 5 bedroom master en-suite House to let.
-DSQ for 2
-Sits",KSh 100 000
4 Bedroom House,Lower Kabete,4,5,0.5 acres,"This beautiful pool side 4 bedroom water villa (W3) is available for rent.

The villa has",KSh 400 000
8 Bedroom House,Karen,8,8,2 100 m²,"Description: eight bedroom villa for rent in karen.  RENT: 550K
A spacious 8-bedroom",KSh 550 000
3 Bedroom House,Karen,3,3,2 100 m²,"DESCRIPTION:
A spacious 3 bedroom Bungalow, conveniently located at the heart of Karen,in",KSh 130 000
3 Bedroom House,Runda,3,3,0.5 acres,"*Price: KSh 250,000*  

Nestled in the serene and prestigious neighborhood of *Runda*,",KSh 250 000
5 Bedroom House,Karen,5,5,2 100 m²,"To let.
Miotoni Area .

Situated in Karen's most prestigious location address – the",KSh 500 000
4 Bedroom House,Rosslyn,4,4,300 m²,"4 Bed House with En Suite in Rosslyn

Located in a peaceful, serene and secure gated",KSh 440 000
4 Bedroom House,Rosslyn,4,5,300 m²,"Spacious 4 bedrooms house in Rosslyn to let;
Main features :-
4 bedrooms all ensuite",KSh 647 000
5 Bedroom House,Runda,5,5,0.05 acres,"Luxurious Five-Bedroom House for Rent in Runda – Ksh 450K 
Your Dream Home Awaits in the",KSh 450 000
2 Bedroom House,Karen,2,1,0.12 m²,"2 bedroom cottage To Let 

Guide Rent KSHS.100,000/-

Features:
Spacious lounge 
Fire",KSh 100 000
4 Bedroom House,Runda,4,4.5,0.5 acres,Perfectly located in this most sort out area in Old Runda is a cozy and modern 4 bedrooms,KSh 400 000
4 Bedroom House,Karen,4,5,0.5 acres,FOUR BEDROOM ALL ENSUITE PLUS DETACHED SERVANT QUARTER  HOUSE FOR RENT IN KAREN NEAR THE,KSh 550 000
5 Bedroom House,Karen,5,5,0.05 acres,"Magnificent 5 bedroom Villa to Let in Karen-550,000 per month
Discover the epitome of",KSh 550 000
8 Bedroom House,Karen,8,8,2 100 m²,"Description: eight bedroom villa for rent in karen.  RENT: 400K
A spacious 8-bedroom TOWN",KSh 400 000
4 Bedroom House,Karen,4,4,2 100 m²,"Karen kephis 

Luxurious newly built & Modern 4Bedrooms  Villa with a dsq for #rent. It's",KSh 350 000
2 Bedroom House,Karen,2,2,0.5 acres,"Modern 2-bedroom ensuite cottage for Rent-Karen

Experience serene and quiet living in",KSh 390 000
4 Bedroom House,Sigona,4,5,2 025 m²,"#tolet

ULTRA MODERN FOUR BEDROOM MANSION IN A GATED COMMUNITY 

#4bedrooms #mansion",KSh 300 000
4 Bedroom House,Loresho,4,3,0.5 acres,Take a look at this beautiful property available to let in Loresho Crescent. A charming,KSh 250 000
5 Bedroom House,Membley,5,5,0.16 acres,"Nothing will happen unless you take the initiative to do it,
Only those who will risk",KSh 90 000
4 Bedroom House,Syokimau,4,5,0.25 m²,"4 Bedroom Master En-suite Plus Dsq For Rent In Syokimau, Katani Road 
 
      Call or",KSh 75 000
5 Bedroom House,Kitisuru,5,5,0.5 acres,"Welcome to Your Dream Home in Kitisuru! 

Are you ready to elevate your lifestyle? We are",KSh 450 000
3 Bedroom House,Karen,3,3,2 100 m²,"TO LET IN KAREN

 3 BEDROOMED BUNGALOW AVAILABLE IN KAREN NEAR GALLERIA MALL 

Asking",KSh 180 000
3 Bedroom House,Syokimau,3,4,2 100 m²,"3 Bedroom Master En-suite Plus Dsq for Rent in Syokimau, Katani Road (rim house area)",KSh 45 000
5 Bedroom House,Karen,5,5,2 100 m²,"Karen, 

A Modern 5Bedrooms  Villa with a dsq within a very serene compound. A perfect",KSh 300 000
2 Bedroom House,Membley,2,1,0.25 acres,Letting this 2-bedroom in a semi apartment in Membley ready for occupancy in a gated,KSh 45 000
4 Bedroom House,Karen,4,4,2 100 m²,"To let.
Miotoni  - Four(4) bedroom house located Karen Miotoni. It's in a gated community",KSh 350 000
5 Bedroom House,Kyuna,5,5,300 m²,"5 Bedroom House For Rent in Kyuna
.
Features: spacious lounge with a functional fireplace",KSh 300 000
4 Bedroom House,Kitisuru,4,4,0.6 acres,"Your Dream Home Awaits in Kitisuru!

Are you on the hunt for an elegant and spacious",KSh 750 000
3 Bedroom House,Karen,3,2,0.25 acres,Nice and beautiful 3 bedroom house in a nice gated community.Ideally good for a,KSh 80 000
3 Bedroom House,Runda,3,3,200 m²,"Runda Mumwe:
3 brm all ensuite modern house. 3 houses in the compound but each house has a",KSh 325 000
2 Bedroom House,Karen,2,2,0.25 acres,"Nice house in a good location , close to galleria mall.
Ideally good for a",KSh 60 000
3 Bedroom House,Westlands,3,3,2 100 m²,"3 bedroom apartment to rent in Westlands (Kenya)
 (KSH260,000) per month

Property",KSh 260 000
2 Bedroom House,Runda,2,2,1 m²,"Elevate Your Living Experience in Runda! 

Imagine enjoying the serenity of a prestigious",KSh 150 000
5 Bedroom House,Runda,5,5,4 500 m²,"Luxurious Five-Bedroom House for Rent in Runda – Ksh 450K 
Your Dream Home Awaits in the",KSh 450 000
4 Bedroom House,Kiambu Road,4,3,0.5 m²,"#  For Rent: Spacious 4-Bedroom House in Edenville Phase 1, Kiambu Road -- Lifestyle,",KSh 180 000
4 Bedroom House,Rosslyn,4,5,2 100 m²,"Spacious 4 bedrooms house in Rosslyn to let;
Main features :-
4 bedrooms all ensuite",KSh 647 000
4 Bedroom House,Kiambu Road,4,5,500 m²,"Stunning 4-Bedroom Villa in a Prestigious Gated Community – Kiambu Road

Welcome to this",KSh 90 000
3 Bedroom House,Membley,3,3,0.5 acres,"Discover the perfect blend of space, privacy, and comfort with this 3-bedroom master",KSh 65 000
5 Bedroom House,Rosslyn,5,5,2 100 m²,Discover the epitome of luxury living in the prestigious Rosslyn area! This spacious and,KSh 450 000
4 Bedroom House,Karen,4,4,2 100 m²,"To Let - Karen 

 Stylish and affordable 4-Bedroom Townhouse for Rent in Karen

- All",KSh 220 000
5 Bedroom House,Nyari,5,4,0.5 acres,"UNFURNISHED 5 Bedroom House on 0.5 Acres
NYARI - This magnificent home is nestled within",KSh 390 000
3 Bedroom House,Membley,3,3,0.12 acres,"Discover the perfect blend of space, privacy, and comfort with this 3-bedroom master",KSh 65 000
2 Bedroom House,Runda,2,2,0.25 acres,"Runda 2 bedrooms all ensuite asking for 170k inclusive of Electricity, water, internet,",KSh 170 000
2 Bedroom House,Runda,2,3,1 000 m²,"Furnished 2 bedrooms house in Runda to let; 
Main features:-
All ensuite 
Pets",KSh 170 000
5 Bedroom House,Lavington,5,5,300 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 250 000
4 Bedroom House,Ridgeways,4,4,6 123 m²,"This gorgeous, modern and well-maintained home is located in the heart of Ridgeways; an",KSh 350 000
5 Bedroom House,Gigiri,5,5,0.05 acres,"Discover the Charm of Rustic Living in Gigiri!

Looking for your dream home in a serene,",KSh 510 000
3 Bedroom House,Runda,3,3,0.5 m²,"Experience Premium Living in Runda! 

Looking for the perfect blend of style, comfort,",KSh 323 100
4 Bedroom House,Kitisuru,4,4,0.5 acres,"Your Dream Home Awaits in Kitisuru!

Are you on the hunt for an elegant and spacious",KSh 750 000
8 Bedroom House,Spring Valley,8,8,300 m²,"A beautiful and stunning 8bdrm family house,the house offers a separate dining area,living",KSh 7 000
3 Bedroom House,Karen,3,4,0.03 acres,"Karen

3 bedroom bungalow available to let in Karen.

Rent: 120k

Amenities:
All",KSh 120 000
5 Bedroom House,Karen,5,5,0.25 acres,5 br on half  in posh  karen  state of the art,KSh 550 000
8 Bedroom House,Kyuna,8,9,0.5 m²,8 Bedroom Plus DSQ House to Let in Kyuna – Gated Community Nestled in the serene and leafy,KSh 8 000
3 Bedroom House,Ongata Rongai,3,2,0.5 acres,"??Maasai lodge, Ongata rongai 

An American design,3 bedrooms house available for rent",KSh 85 000
5 Bedroom House,Lavington,5,5,200 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 400 000
4 Bedroom House,Karen,4,5,0.5 acres,"Newly built 4 Bedroom Family Homes plus DSQ For Rent in Karen, Nairobi

LOCATION: Karen",KSh 550 000
4 Bedroom House,Lower Kabete,4,4,130 m²,"Welcome to Your Home Sweet Home in Lower Kabete! 

Are you looking for the perfect place",KSh 450 000
4 Bedroom House,Syokimau,4,3,0.5 acres,"??Syokimau 

Mansionate 4 bedroom All ensuite to let own compound.

Rent 80k 
Call",KSh 80 000
5 Bedroom House,Runda,5,5,506 m²,"RUNDA

5-bedroom house.
All ensuite
2 family rooms
DSQ for 2
Lockable garage for 2",KSh 400 000
5 Bedroom House,Karen,5,5,0.5 acres,A lovely house located in a gated community in the affluent Miotoni neighborhood. Each,KSh 350 000
4 Bedroom House,Runda,4,4,4 500 m²,"4-Bedroom Own Compound Villa for Rent
Located in a Gated Community.

Key Features:
All",KSh 250 000
3 Bedroom House,Ridgeways,3,3,0.5 acres,A Comfortable Nest – Three-Bedroom Furnished Cottage for Rent in Ridgeways – 3200 USD,KSh 413 000
5 Bedroom House,Lavington,5,5,300 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 300 000
1 Bedroom House,Kilimani,1,1,2 100 m²,"ONE BEDROOM GUEST WING HOUSE FOR RENT IN KILIMANI

A One-Bedroom Guest Wing is available",KSh 60 000
6 Bedroom House,Kyuna,6,7,0.5 acres,"Newly Developed, 5- And 6-Bedroom Double Story Houses.
All Bedrooms en suite with spacious",KSh 650 000
4 Bedroom House,Runda,4,4,0.25 acres,"4 Bedroom plus Dsq villa to let in a gated community

FEATURES
-All bedroom en",KSh 280 000
5 Bedroom House,Runda,5,5,,"Elegant Five-Bedroom Cottage for Rent in Runda – 390K 
Discover this charming and spacious",KSh 390 000
5 Bedroom House,Lower Kabete,5,5,2 000 m²,"A stunning and modern 5bdrm unfurnished muly level townhouse,all ensuite with a 2bdrm",KSh 1 050 000
3 Bedroom House,Karen,3,3,300 m²,"three bedroom house to rent
3 Bedrooms Cottage To Let In Karen ?? ??Available To Let in",KSh 100 000
5 Bedroom House,Lavington,5,5,300 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 400 000
3 Bedroom House,Tigoni,3,5,300 m²,"A modern and brilliant house in a tranquil location. 
3 bedrooms all ensuite bungalow plus",KSh 300 000
5 Bedroom House,Lavington,5,6,5 acres,5bedroom all ensuite with staff quarter for one. it offers a new concept of home living,KSh 650 000
5 Bedroom House,Lavington,5,5,300 m²,This magnificent double storey is nestled in the prestigious Lavington area. It is a,KSh 300 000
6 Bedroom House,Kitisuru,6,6,300 m²,"Price:500,000
Enjoy luxurious living in this expansive 6-bedroom house located in the",KSh 500 000
2 Bedroom House,Karen,2,1,0.25 acres,"Lovely cottage in a nice shared compound.
Well furnished and ideal for a couple or a",KSh 120 000
5 Bedroom House,Lavington,5,5,300 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 400 000
4 Bedroom House,Loresho,4,4,2 023 m²,"LORESHO

4-bedroom bungalow with DSQ for 2
Spacious master ensuite
Sitting on half an",KSh 250 000
5 Bedroom House,Lower Kabete,5,5,0.5 m²,Are you searching for the perfect family oasis? Look no further! This stunning five-bedroom,KSh 450 000
6 Bedroom House,Westlands,6,6,0.25 acres,"Discover the perfect blend of luxury, space, and exclusivity in this stunning 6-bedroom",KSh 400 000
3 Bedroom House,Kileleshwa,3,3,4 500 m²,"Close Proximity to several international schools in Lavington and Kilimani. 

A charming",KSh 150 000
4 Bedroom House,Spring Valley,4,5,5 052 acres,"Spring Valley
5 Bedrooms Townhouse with Sq To Let in the Leafy Suburbs of Spring",KSh 325 000
4 Bedroom House,Karen,4,4,0.5 acres,In a gated community and close proximity to malls and schools is this newly build 4,KSh 350 000
4 Bedroom House,Runda,4,3,1.1 acres,"To let in Runda:
A charming house on ONE acre. 
-4 bedrooms 
-2 ensuite
-Attic
-2br",KSh 400 000
4 Bedroom House,Spring Valley,4,4,250 m²,"Welcome to Your Ideal Spring Valley Retreat! 

Looking for a serene escape without",KSh 350 000
3 Bedroom House,Watamu,3,2,1 000 m²,"Three bedrooms villa 
On own compound 
One master bedroom and two rooms . 
Big kitchen",KSh 70 000
4 Bedroom House,Spring Valley,4,4,300 m²,"Elegant 4-Bedroom Standalone Home in Spring Valley – Ideal for Family Living

Discover",KSh 520 000
4 Bedroom House,Runda,4,4,0.5 acres,4-bedroom rental home in the prime location of Runda Estate for only KES,KSh 400 000
5 Bedroom House,Kitisuru,5,5,0.5 acres,"OLD KITISURU
5-bedroom house
All ensuite
Spacious rooms
Modern kitchen with quality",KSh 400 000
4 Bedroom House,Westlands,4,4,2 878 m²,"Rustic 4 Bedroom Townhouse plus dsq, all bedrooms ensuite, balcony with good views, lots of",KSh 200 000
5 Bedroom House,Lavington,5,5,300 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 300 000
4 Bedroom House,Karen,4,3,1 acres,"Nestled in an exclusive gated community of just two homes, this charming 4-bedroom bungalow",KSh 140 000
4 Bedroom House,Loresho,4,5,0.12 acres,"To Let Kshs 250,000

Location - Loresho
Description:
In a secure gated community 
* 4",KSh 250 000
5 Bedroom House,Loresho,5,5,300 m²,"Loresho (kibagare)

5 bedroom all ensuite stand alone house on 0.5acre.
In a secure",KSh 715 000
5 Bedroom House,Kitisuru,5,4,0.25 acres,"A charming 5bdrm unfurnished family house,three ensuite with a 2bdrm guest wing. The house",KSh 450 000
3 Bedroom House,Kilimani,3,3,300 m²,"Price: Ksh 160,000
Location: Kilimani,Hurlingham
Available From: 1st September

Step",KSh 160 000
4 Bedroom House,Thigiri,4,5,0.5 acres,"Beautiful 4 bedrooms house to let in Thigiri;
Main features include:-
All ensuite",KSh 450 000
6 Bedroom House,Kitisuru,6,6,300 m²,"Price:500,000
Enjoy luxurious living in this expansive 6-bedroom house located in the",KSh 500 000
3 Bedroom House,Ongata Rongai,3,3,350 m²,"Located in agated community,this unit boasts of two ensuite,dining, expansive living room,",KSh 45 000
4 Bedroom House,Lavington,4,4,0.5 acres,Looking for a spacious and elegant home in Lavington? This stunning 4-bedroom townhouse is,KSh 300 000
5 Bedroom House,Runda,5,5,0.5 acres,"Spacious 5 Bedroom House All Bedroom en-suite plus family room Own Compound

Spacious 5",KSh 400 000
4 Bedroom House,Westlands,4,3,,"4 bedroom House to rent in Westlands
This 4 bedroom Maisonette is for sale, strategically",KSh 150 000
3 Bedroom House,Karen,3,3,0.5 acres,"three bedroom house to rent
3 Bedrooms Cottage To Let In Karen ?? ??Available To Let in",KSh 100 000
6 Bedroom House,Kitisuru,6,6,0.5 acres,"Price:500,000
Enjoy luxurious living in this expansive 6-bedroom house located in the",KSh 500 000
4 Bedroom House,Runda,4,4,2 100 m²,"Letting 4-bedroom townhouse plus Dsq  with spacious rooms 
-Master bedroom en-suite for",KSh 250 000
5 Bedroom House,Kitisuru,5,3.5,0.57 acres,"New Kitisuru: 
*Upstairs*
3 bedrooms 
Master ensuite with walk in closet
Two bedrooms",KSh 230 000
4 Bedroom House,Karen,4,7,2 100 m²,"This exquisite 4-bedroom villa offers the perfect blend of luxury, comfort, and",KSh 650 000
5 Bedroom House,Kitisuru,5,5,0.25 acres,"OLD KITISURU, 5 BEDROOM HOUSE FOR RENT (KES 400,000)
FEATURES
Located in a serene",KSh 400 000
4 Bedroom House,Utange,4,3,0.03 acres,"This house is located in secure place, near wema centre and JCC CHURCH,
This is a 4",KSh 55 000
3 Bedroom House,Ridgeways,3,3,0.25 acres,A Comfortable Nest – Three-Bedroom Furnished Cottage for Rent in Ridgeways – 3200 USD,KSh 413 000
6 Bedroom House,Runda,6,6,2 025 m²,"Stunning 6-Bedroom House in the Prestigious Runda Neighborhood

Experience the epitome of",KSh 450 000
3 Bedroom House,Membley,3,4,4 004 m²,Discover this beautifully designed 3-bedroom home located in the serene and sought-after,KSh 65 000
6 Bedroom House,Runda,6,6,0.57 acres,"Stunning 6-Bedroom House in the Prestigious Runda Neighborhood

Experience the epitome of",KSh 450 000
5 Bedroom House,Runda,5,5,0.75 acres,Located in Runda is this magnificently done house with a taste. The main door opens to a,KSh 864 000
2 Bedroom House,Sigona,2,3,0.57 m²,"#sigona #tolet #100k
Two bedrooms  plus dsq to let 
Located link road near sigona golf",KSh 100 000
4 Bedroom House,Loresho,4,4,0.5 acres,LORESHO - This is a stunning 4 bedrooms bungalow with upgraded kitchen and bathrooms,KSh 250 000
5 Bedroom House,Karen,5,6,0.12 acres,"All bedrooms ensuite 
Gated community.
Sits on half acre.
Well secured",KSh 300 000
4 Bedroom House,Kitisuru,4,5,0.5 acres,Adorable 4 bedroom house for sale in a cool serene neighborhood of Kitisuru . It Enjoys all,KSh 125 000 000
5 Bedroom House,Lavington,5,5,2 100 m²,"This beautiful and charming townhouse is located in a serene neighborhood off Gitanga Road,",KSh 250 000
3 Bedroom House,Karen,3,2,1 acres,"?? KAREN RENTAL 3BDR BANGALOW 80K

House To Let:
 *Location: Karen Plains* :
Will be",KSh 80 000
5 Bedroom House,Mountain View,5,4,0.25 acres,Its a precious and lustrous  house 5 bedroom  three ensuite with a staff quarters for,KSh 140 000
6 Bedroom House,Runda,6,6,0.25 acres,"Stunning 6-Bedroom House in the Prestigious Runda Neighborhood

Experience the epitome of",KSh 450 000
5 Bedroom House,Kiambu Road,5,5,500 m²,"An excellent four-bedroom villa in a gated community of six
We help you find your suitable",KSh 250 000
5 Bedroom House,Kilimani,5,3.5,0.5 acres,"5 Beds| 3.5 Baths| DSQ For 1

Location: Kilimani 

KES 190,000 Monthly 
—
A spacious",KSh 190 000
House,Ngong,5,5,0.5 acres,"A 4 bedrooms maisonette in a gated community in oloolua ngong.
*in a serene and amiable",KSh 70 000
5 Bedroom House,Karen,5,5,0.5 acres,"Spacious 5-Bedroom Ensuite Home in Karen
?? Prime Location: Karen, near KCB (quiet,",KSh 600 000
2 Bedroom House,Kabete,2,1,2 100 m²,HOMELY SERENE 2BED Bungalow Unit with a BEAUTIFUL GARDEN in Kabete off the Western Bypass,KSh 35 000
5 Bedroom House,Lavington,5,5,0.57 acres,"Executive 4 Bedroom All Ensuite Standalone Home in Lavington ??
?? Lavington,  Nairobi",KSh 250 000
1 Bedroom House,Karen,1,1,,"We offer you the perfect blend of modern city living and tranquility of nature. ??
Rent",KSh 35 000
4 Bedroom House,Nyari,4,4,,"An elegant and exclusive 5bedroom townhouse for rent in nyari
-it is stunning and lustrous",KSh 350 000
4 Bedroom House,Lavington,4,4,200 m²,This magnificent double storey is designed for your comfort and luxury living. It is,KSh 480 000
4 Bedroom House,Thome,4,4,0.03 acres,"4 Bedroom House plus Sq For Rent In ??Thome Estate???? At KES 250K
It has a modern layout",KSh 250 000
4 Bedroom House,Kiambu Road,4,4,300 m²,"?? Rent: Ksh 250,000 | ?? Prime Location: Off Kiambu Road

Experience elegance, space,",KSh 250 000
2 Bedroom House,Membley,2,2,0.25 acres,"Letting this 2 bedrooms guest wing house in the leafy suburb of Membley estate, on a shared",KSh 30 000
4 Bedroom House,Kilimani,4,3.5,0.25 acres,"Discover this spacious and modern 4-bedroom Maisonette, complete with a staff quarters (SQ)",KSh 110 000
5 Bedroom House,Runda,5,5,300 m²,"5 Bed House with En Suite in Runda

With a meticulously maintained interior, you are",KSh 600 000
5 Bedroom House,Muthaiga,5,5,5 acres,Ultra modern house feature unobstructed views of the Karura Forest lovely forest views in,KSh 840 000
5 Bedroom House,Karen,5,5,0.2 ha,Step into the epitome of luxury living with this stunning 5-bedroom villa in the heart of,KSh 720 000
4 Bedroom House,Ridgeways,4,4,0.25 m²,"?? Ridgeways????
4-Bedroom Standalone + Family Room + DSQ To Let
Rent: KSh 250,000 per",KSh 250 000
5 Bedroom House,Lavington,5,5,200 m²,"5 Bedrooms  Townhouse plus DSQ to Let in Lavington

Features; 
?? Gated community",KSh 320 000
4 Bedroom House,Sigona,4,3,2 023 m²,3 br plus sq sigona to let available at 60k call ys today for viewing,KSh 60 000
